comparison_id	batch_id	queue_id	queue_rank	screen_id	external_screen_id	gene_symbol	primary_review_id	secondary_review_id	primary_evidence_level	secondary_evidence_level	comparison_status	primary_source_locator	secondary_source_locator	human_adjudication_required	assessed_date	notes
orcs-2.0.18-batch-001:review-comparison:sha256:8f78ef326ad0d2707f6a37e005d6e8340b3d072c6ebceca2a4e905602325b68b	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:2169	4	orcs:2.0.18:screen:2169	2169	PBRM1	orcs:2.0.18:full-text-review:screen:2169:v1	orcs:2.0.18:full-text-review:screen:2169:v2	candidate_v2	candidate_v2	provisional_agreement	Figures 2B-C and 3A-D: targeted follow-up with independent guides in PC9 and H1975 contexts	Figures 2B-D and 3A-B: independent CRISPR perturbations in PC-9 with matched gefitinib response and target-loss assessment; no rescue	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:1a0ac201b3cb9639f25844a9449631738db6da3d3c44618c37f4743ad03acbe5	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1348	5	orcs:2.0.18:screen:1348	1348	RNASEH2A	orcs:2.0.18:full-text-review:screen:1348:v1	orcs:2.0.18:full-text-review:screen:1348:v2	candidate_v3	candidate_v3	provisional_agreement	Figure 2 and Extended Data Figures 2-4: targeted knockout phenotypes; RNASEH2A wild-type complementation provides rescue	Figure 2J and Extended Data Figure 4: RNASEH2A-null HeLa olaparib sensitivity is rescued by wild-type but not inactive RNASEH2A; RNASEH2B lacks equally explicit matched rescue	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:bda5f42a50fdd71fe100267b940c78a5a039b686b9a96376025b12409470d474	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1348	5	orcs:2.0.18:screen:1348	1348	RNASEH2B	orcs:2.0.18:full-text-review:screen:1348:v1	orcs:2.0.18:full-text-review:screen:1348:v2	candidate_v2	nonqualifying	label_disagreement	Figure 2 and Extended Data Figures 2-4: targeted knockout phenotypes; RNASEH2A wild-type complementation provides rescue	Figure 2J and Extended Data Figure 4: RNASEH2A-null HeLa olaparib sensitivity is rescued by wild-type but not inactive RNASEH2A; RNASEH2B lacks equally explicit matched rescue	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:7c5c998ef1efd2563f0c942e8d6ea97dd6f0d630f4e95a496022322c67d81dbb	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:632	6	orcs:2.0.18:screen:632	632	RB1	orcs:2.0.18:full-text-review:screen:632:v1	orcs:2.0.18:full-text-review:screen:632:v2	candidate_v1	candidate_v1	provisional_agreement	Figure 4C: two RB1 sgRNAs in an independent NMC797 model and JQ1 dose-response	Figure 4C and Methods: two RB1 sgRNAs with controls and JQ1 dose response in NMC797, a model distinct from the NMC1015 screen	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:7427aa42e393a25193e893fad534b5fd39b335eadf4db414f0aff29af77fb454	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1291	7	orcs:2.0.18:screen:1291	1291	SHLD1	orcs:2.0.18:full-text-review:screen:1291:v1	orcs:2.0.18:full-text-review:screen:1291:v2	nonqualifying	nonqualifying	provisional_agreement	Mechanistic SHLD1 experiments use different models or endpoints and do not match the RPE1 doxorubicin contrast	Mechanistic SHLD1 experiments use different models or endpoints and do not match the RPE1 doxorubicin contrast	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:f35f497fb56ab5597e903fb334135342140ddbea559bf23ff36f4caf74dbff1f	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1705	8	orcs:2.0.18:screen:1705	1705	MSH2	orcs:2.0.18:full-text-review:screen:1705:v1	orcs:2.0.18:full-text-review:screen:1705:v2	candidate_v2	candidate_v2	provisional_agreement	Targeted MSH2 shRNAs in MGH-U4 and 253J with matched cisplatin viability and apoptosis assays	Figures 1-3 and Methods: two MSH2 shRNAs with non-targeting control, Western confirmation and matched cisplatin assays in MGH-U4 and 253J	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:12d14b6e248d520f8d5fe421ce153436b02371d90152c3746b6a145a739b47cb	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1110	9	orcs:2.0.18:screen:1110	1110	ADORA2A	orcs:2.0.18:full-text-review:screen:1110:v1	orcs:2.0.18:full-text-review:screen:1110:v2	candidate_v1	candidate_v1	provisional_agreement	Individual RNP sgRNAs in cells from two donors with matched CGS-21680 proliferation assays	Figure 6 and Methods: ADORA2A and FAM105A tested with two sgRNAs in two donors under matched CGS-21680 proliferation assays; target-specific editing confirmation not reported	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:6c63eec41cb2c4f59ed8ef79a83719c983bb3f844f58df40e401a6d0d0260966	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1110	9	orcs:2.0.18:screen:1110	1110	FAM105A	orcs:2.0.18:full-text-review:screen:1110:v1	orcs:2.0.18:full-text-review:screen:1110:v2	candidate_v1	candidate_v1	provisional_agreement	Individual RNP sgRNAs in cells from two donors with matched CGS-21680 proliferation assays	Figure 6 and Methods: ADORA2A and FAM105A tested with two sgRNAs in two donors under matched CGS-21680 proliferation assays; target-specific editing confirmation not reported	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:b8a474c3afeda5c75f252a0b8ef5bb70001e9b1df0cfccd6c77ff643280eb672	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:2440	10	orcs:2.0.18:screen:2440	2440	RNASEH2A	orcs:2.0.18:full-text-review:screen:2440:v1	orcs:2.0.18:full-text-review:screen:2440:v2	candidate_v2	candidate_v2	provisional_agreement	Targeted RNASEH2A/B perturbations in 293A plus orthogonal and independent-model drug-response assays	Figures 1-2 and Methods: individual sgRNA plus Western and orthogonal shRNA evidence for RNASEH2A/B with matched AZD6738 response in 293A; no rescue	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:f6747fc4aca3a1a27024e976b829a7f9fb1a584a9b4e5441a7c2f8c3593e29ca	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:2440	10	orcs:2.0.18:screen:2440	2440	RNASEH2B	orcs:2.0.18:full-text-review:screen:2440:v1	orcs:2.0.18:full-text-review:screen:2440:v2	candidate_v2	candidate_v2	provisional_agreement	Targeted RNASEH2A/B perturbations in 293A plus orthogonal and independent-model drug-response assays	Figures 1-2 and Methods: individual sgRNA plus Western and orthogonal shRNA evidence for RNASEH2A/B with matched AZD6738 response in 293A; no rescue	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
