study_id	citation	doi	primary_url	drug_or_compound	cell_line	cancer_type	modality	selection_direction	library	screen_scale	treatment_design	readout	analysis_method	raw_accession	raw_url	count_or_score_accession	count_or_score_url	individual_validation_reported	validation_examples	license_reuse_notes	verification_status	verified_fields	unresolved_fields
CER-S011	Wei et al., Nature Communications (2019), Genome-wide CRISPR/Cas9 library screening identified PHGDH as a critical driver for Sorafenib resistance in HCC	10.1038/s41467-019-12606-7	https://www.nature.com/articles/s41467-019-12606-7	sorafenib	MHCC97L	hepatocellular carcinoma	CRISPR-KO	resistance	GeCKO v2A	65,386 sgRNAs; 19,052 protein-coding genes plus miRNAs	7 uM sorafenib; 7 days	cell survival / guide enrichment	gene-level enrichment analysis described in paper	NA	NA	article source and supplementary data	https://www.nature.com/articles/s41467-019-12606-7	yes	PHGDH knockout/knockdown and pharmacologic inhibition tested, including in vivo follow-up	Article is CC BY 4.0; GSE92742 is a companion accession candidate but must not be treated as CRISPR-screen raw data without sample-level inspection	VERIFIED_COUNTS	paper; DOI; drug; cell line; library size; treatment; PHGDH validation	raw CRISPR accession; whether GSE92742 contains any screen reads; exact ranking software; source-data license details
CER-S012	Sulahian et al., Cell Reports (2019), Synthetic Lethal Interaction of SHOC2 Depletion with MEK Inhibition in RAS-Driven Cancers	10.1016/j.celrep.2019.08.090	https://pmc.ncbi.nlm.nih.gov/articles/PMC6918830/	trametinib	KRAS-mutant pancreatic and lung cancer models	RAS-driven cancers	CRISPR-KO	sensitization	genome-scale CRISPR knockout library	genome-wide	MEK-inhibitor versus vehicle selection	cell proliferation / guide depletion	STARS-based differential scoring	NA	NA	article supplementary score tables	https://pmc.ncbi.nlm.nih.gov/articles/PMC6918830/	yes	SHOC2 depletion validated with orthogonal genetic approaches and combination assays	Cell Reports reuse terms for this version and supplements must be verified before mirroring	VERIFIED_COUNTS	paper; DOI; drug class; genome-scale KO; synthetic-lethal direction; SHOC2 validation	raw accession; exact screening cell lines; library version; supplement license
CER-S013	Ouyang et al., American Journal of Cancer Research (2019), Loss of ZNF587B and SULF1 contributed to cisplatin resistance in ovarian cancer cell lines based on Genome-scale CRISPR/Cas9 screening	NA	https://pmc.ncbi.nlm.nih.gov/articles/PMC6556596/	cisplatin	ovarian cancer cell lines; exact screening line requires recheck	ovarian cancer	CRISPR-KO	resistance	GeCKO v2	122,417 sgRNAs; 19,052 genes	cisplatin survival selection	cell viability / guide enrichment	method described in paper; software name not yet normalized	NA	NA	article supplementary data	https://pmc.ncbi.nlm.nih.gov/articles/PMC6556596/	yes	ZNF587B and SULF1 retested with targeted knockout and viability assays	Open full text is available; explicit article and supplement license should be checked before redistribution	VERIFIED_METADATA	title; journal; year; drug; library scale; resistance design; targeted validation	DOI appears absent; exact screen cell line; raw/count accession; analysis software; reuse terms
CER-S014	Clements et al., Nature Communications (2020), Identification of regulators of poly-ADP-ribose polymerase inhibitor response through complementary CRISPR knockout and activation screens	10.1038/s41467-020-19961-w	https://www.nature.com/articles/s41467-020-19961-w	olaparib	HeLa parental; HeLa BRCA2-knockout	cervical cancer model	CRISPR-KO	sensitization in parental; resistance in BRCA2-null	Brunello	19,114 genes; four sgRNAs per gene	5 uM parental and 4 uM BRCA2-null olaparib; 4 days	cell survival / guide abundance	MAGeCK	NA	NA	Supplementary Data read-count tables	https://www.nature.com/articles/s41467-020-19961-w	yes	KAT5 and HUWE1 KO hits; paper also validates CRISPRa ABCB1 but that arm should be modeled separately	Article is CC BY 4.0; source data are supplied, but retain the paper citation and inspect file-level notices	VERIFIED_COUNTS	paper; DOI; cell lines; doses; duration; Brunello design; read-count tables; KO validation	raw FASTQ accession; sample-level count schema
CER-S015	Olivieri et al., Cell (2020), A Genetic Map of the Response to DNA Damage in Human Cells	10.1016/j.cell.2020.05.040	https://pubmed.ncbi.nlm.nih.gov/32649862/	27 DNA-damaging agents including olaparib, camptothecin and ATR-pathway inhibitors	hTERT-RPE1 TP53-null	human retinal pigment epithelial model	CRISPR-KO	resistance; sensitization	TKOv3	genome-wide; 31 screens	agent-specific multi-day chemogenetic selections	cell proliferation / chemical-genetic interaction score	drugZ-based and study-specific integration	10.17632/gfcn2wmrpf.1	https://data.mendeley.com/datasets/gfcn2wmrpf/1	Mendeley dataset version 1	https://data.mendeley.com/datasets/gfcn2wmrpf/1	yes	multiple newly identified DNA-damage response interactions were retested	Data are in a versioned Mendeley repository; inspect dataset license and individual files before redistribution; Cell article terms are separate	VERIFIED_COUNTS	paper; DOI; model; TKOv3; screen count; public versioned dataset; follow-up validation	whether repository contains FASTQ or processed counts only; per-agent dose and duration; dataset license
CER-S016	Lau et al., Genome Biology (2020), Systematic functional identification of cancer multi-drug resistance genes	10.1186/s13059-020-1940-8	https://link.springer.com/article/10.1186/s13059-020-1940-8	27 anticancer agents spanning cytotoxics and targeted drugs	HAP1	chronic myeloid leukemia-derived near-haploid cell model	CRISPR-KO	resistance	GeCKO v2	123,411 sgRNAs; 19,050 genes	IC90-99 for first 3 days followed by lower-dose recovery	cell survival / guide enrichment	MAGeCK	PRJNA601000	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA601000	Supplementary Tables S2 and S4	https://link.springer.com/article/10.1186/s13059-020-1940-8	yes	PPP6C, NAA60, YB-1 and RDD1/C1orf115 investigated with rescue and in vivo assays	Article is CC BY 4.0 and states a CC0 waiver for data unless otherwise indicated; preserve accession provenance	VERIFIED_RAW	paper; DOI; drug panel; cell model; library size; treatment logic; MAGeCK; BioProject; validation	sample-level drug names/doses should be imported from Table S1; exact repository file map
CER-S017	Su et al., DNA Repair (2020), CRISPR/CAS9-based DNA damage response screens reveal gene-drug interactions	10.1016/j.dnarep.2020.102803	https://pmc.ncbi.nlm.nih.gov/articles/PMC7034363/	ATR/PARP-pathway inhibitors and DNA-damaging agents	HEK293A TP53-wild-type and TP53-knockout	human embryonic kidney-derived model	CRISPR-KO	resistance; sensitization	DDR_MKO focused library	365 DNA-damage response genes	panel of chemogenetic dropout screens	cell proliferation / guide abundance	study-specific differential guide/gene scoring	NA	NA	BioStudies S-EPMC7034363; article supplements	https://www.ebi.ac.uk/biostudies/articles/S-EPMC7034363	yes	POLE3 and POLE4 interactions retested with individual perturbations	Publisher reuse terms are not normalized; BioStudies hosting does not itself authorize unrestricted mirroring	VERIFIED_COUNTS	paper; DOI; two TP53 backgrounds; focused-library scope; official supplement mirror; validation	raw sequencing accession; complete drug/dose matrix; exact analysis software; supplement license
CER-S018	Schleicher et al., PLOS Genetics (2020), Dual genome-wide CRISPR knockout and CRISPR activation screens identify mechanisms that regulate resistance to multiple ATR inhibitors	10.1371/journal.pgen.1009176	https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009176	berzosertib (VE-822); ceralasertib (AZD6738)	HeLa	cervical cancer model	CRISPR-KO	resistance; sensitization	Brunello	genome-wide	parallel ATR-inhibitor selections	cell survival / guide abundance	MAGeCK-based gene ranking	NA	NA	PLOS supplementary datasets	https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009176	yes	multiple ATR-inhibitor resistance regulators retested; CRISPRa arm must be kept separate	Article is CC BY 4.0; verify any third-party material and preserve separate modality labels	VERIFIED_COUNTS	paper; DOI; drugs; cell line; KO library; analysis family; supplements; validation	raw sequencing accession; exact dose/duration; supplement file schema
CER-S019	Branigan et al., Cell Reports (2021), MMB-FOXM1-driven premature mitosis is required for CHK1 inhibitor sensitivity	10.1016/j.celrep.2021.108808	https://pmc.ncbi.nlm.nih.gov/articles/PMC7970065/	prexasertib	A549 and additional NSCLC models	non-small cell lung cancer	CRISPR-KO	resistance	Brunello	approximately 19,100 genes	19-day CHK1-inhibitor selection	cell survival / guide enrichment	STARS	NA	NA	BioStudies S-EPMC7970065; supplementary score files	https://www.ebi.ac.uk/biostudies/articles/S-EPMC7970065	yes	MYBL2, LIN54, FOXM1, CCNA2 and CDC25B were functionally followed up	Cell Reports terms and supplement reuse permissions must be checked; RNA-seq accessions in the paper should not be mislabeled as screen data	VERIFIED_COUNTS	paper; DOI; compound; NSCLC context; Brunello; duration; STARS; official supplement mirror; validation	raw CRISPR accession; exact screening cell line and dose; supplement license
CER-S020	Ramaker et al., BMC Cancer (2021), Pooled CRISPR screening in pancreatic cancer cells implicates co-repressor complexes as a cause of multiple drug resistance via regulation of epithelial-to-mesenchymal transition	10.1186/s12885-021-08388-1	https://link.springer.com/article/10.1186/s12885-021-08388-1	gemcitabine; 5-fluorouracil; irinotecan; oxaliplatin	PANC-1; BxPC-3	pancreatic ductal adenocarcinoma	CRISPR-KO	resistance	GeCKO A; paper also contains a separate SAM CRISPRa arm	genome-scale pooled screens	multi-drug survival selections	cell survival / guide enrichment	custom summed log2-fold-change ranking	PRJNA542321	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA542321	article supplementary data	https://link.springer.com/article/10.1186/s12885-021-08388-1	limited for KO	strongest targeted validation in the paper is CRISPRa-mediated ABCG2/HDAC1 biology; KO labels require conservative adjudication	Article is CC BY 4.0; SRA reads are public; do not combine KO and CRISPRa samples in one model	VERIFIED_RAW	paper; DOI; drugs; lines; KO library class; public BioProject; modality caveat	exact KO guide count; per-drug sample map; which KO hits meet V2 validation criteria
CER-S021	Goh et al., G3 (2021), Identification of pathways modulating vemurafenib resistance in melanoma cells via a genome-wide CRISPR/Cas9 screen	10.1093/g3journal/jkaa069	https://pmc.ncbi.nlm.nih.gov/articles/PMC8022920/	vemurafenib	A375	melanoma	CRISPR-KO	resistance	genome-wide CRISPR knockout library	genome-wide	vemurafenib survival selection	cell survival / guide enrichment	gene-level pathway and enrichment analysis	NA	NA	article supplementary data	https://pmc.ncbi.nlm.nih.gov/articles/PMC8022920/	yes	33 genes were experimentally examined, including newly implicated resistance regulators	G3 open-access license appears permissive but must be confirmed at article/file level before redistribution	VERIFIED_METADATA	paper; DOI; drug; cell line; genome-wide resistance design; reported validation	raw/count accession; library version; exact dose/duration; analysis software; license
CER-S022	Damnernsawad et al., Haematologica (2022), A genome-wide CRISPR screen identifies regulators of MAPK and MTOR pathways that mediate resistance to sorafenib in AML	10.3324/haematol.2020.257964	https://haematologica.org/article/view/10131	sorafenib; repository also includes crenolanib arm	MOLM-13; MV4-11 added in repository	FLT3-mutant acute myeloid leukemia	CRISPR-KO	resistance	Yusa Kosuke genome-wide library	90,709 sgRNAs; 18,010 genes	50 nM sorafenib; days 7 and 14; repository includes 20 nM crenolanib at later times	cell survival / guide enrichment	MAGeCK RRA plus tiering	GSE138343; PRJNA575535	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138343	Online Supplementary Table S1	https://haematologica.org/article/view/10131	yes	LZTR1, NF1, TSC1, TSC2 and NPRL2/pathway mechanisms retested	Raw GEO/SRA data are public; Haematologica article license for this version should be recorded exactly before mirroring supplements	VERIFIED_RAW	paper; DOI; library and size; drug dose; time points; MAGeCK; GEO/BioProject; targeted validation	sample-level split of paper versus later-added repository arms; exact publication license
CER-S023	Llorca-Cardenosa et al., Cancer Research (2022), SMG8/SMG9 Heterodimer Loss Modulates SMG1 Kinase to Drive ATR Inhibitor Resistance	10.1158/0008-5472.CAN-21-4339	https://aacrjournals.org/cancerres/article/82/21/3962/709717/SMG8-SMG9-Heterodimer-Loss-Modulates-SMG1-Kinase	berzosertib (VE-822)	YCC-6	gastric cancer	CRISPR-KO	resistance	Yusa human improved genome-wide knockout library	genome-wide	100 nM VE-822; 3 weeks	cell survival / guide enrichment	z-score-based ranking	NA	NA	AACR Figshare Supplementary Table	https://aacr.figshare.com/articles/dataset/Supplementary_Table_from_SMG8_SMG9_Heterodimer_Loss_Modulates_SMG1_Kinase_to_Drive_ATR_Inhibitor_Resistance/22433010	yes	SMG8 and SMG9 knockout phenotypes and SMG1-dependent mechanism validated	Figshare item license must be read from the item metadata; AACR article rights are separate	VERIFIED_COUNTS	paper; DOI; line; drug/dose; duration; library class; official score-table repository; validation	raw sequencing accession; exact guide count; Figshare file license
CER-S024	Tsujino et al., Nature Communications (2023), CRISPR screens reveal genetic determinants of PARP inhibitor sensitivity and resistance in prostate cancer	10.1038/s41467-023-35880-y	https://www.nature.com/articles/s41467-023-35880-y	olaparib	LNCaP; C4-2B; 22Rv1; DU145	prostate cancer	CRISPR-KO	resistance; sensitization	Liu human CRISPR knockout library	more than 18,000 genes	28-day olaparib versus vehicle screens	cell proliferation / differential beta score	MAGeCKFlute	NA	NA	article Source Data and supplementary tables	https://www.nature.com/articles/s41467-023-35880-y	yes	ten sensitizer candidates retested; MMS22L/TONSL rescue and CHEK2 resistance experiments	Article is CC BY 4.0; GSE189186 in the paper is RNA-seq and must not be treated as CRISPR raw data	VERIFIED_COUNTS	paper; DOI; four lines; drug; duration; library scope; MAGeCKFlute; source data; validation	raw CRISPR accession; exact drug doses and replicate map
CER-S025	Lin et al., Scientific Reports (2024), A scalable platform for efficient CRISPR-Cas9 chemical-genetic screens of DNA damage-inducing compounds	10.1038/s41598-024-51735-y	https://www.nature.com/articles/s41598-024-51735-y	five proof-of-principle compounds including camptothecin, olaparib, hydroxyurea and colchicine	hTERT-RPE1 TP53-null	human retinal pigment epithelial model	CRISPR-KO	resistance; sensitization	focused DDR library; TKOv3 comparator	1,011 genes / 3,033 guides in focused library; genome-wide comparator	time-resolved screens up to 18 days	cell proliferation / chemical-genetic interaction score	CGI score; differential log-fold change and FDR	PRJNA1026718	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1026718	article Source Data	https://www.nature.com/articles/s41598-024-51735-y	no dedicated hit validation	benchmarking emphasized known mechanisms, reproducibility and time-resolved pathway recovery rather than orthogonal validation	Article is CC BY 4.0; SRA/BioProject reads are public; suitable for screen-signal features but not positive validation labels	VERIFIED_RAW	paper; DOI; model; library sizes; time-resolved design; analysis outputs; BioProject	library-to-sample map; fifth compound name and all doses; explicit negative-validation labels absent
CER-S026	Zhong et al., Nature Communications (2024), CRISPR screens reveal convergent targeting strategies against evolutionarily distinct chemoresistance in cancer	10.1038/s41467-024-49673-4	https://www.nature.com/articles/s41467-024-49673-4	multiple chemotherapies including oxaliplatin, irinotecan and cisplatin	HCT116; DLD1; HCT8; HT29 and derived resistant models	colorectal cancer	CRISPR-KO	resistance; sensitization	genome-wide knockout plus second-round druggable-gene library	multi-screen compendium across 30 chemotherapeutic contexts	drug-naive and evolutionarily resistant cancer-cell screens	cell survival / guide abundance	study-specific genome-wide and focused-screen ranking	HRA002646	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002646	article Source Data	https://www.nature.com/articles/s41467-024-49673-4	yes	PLK4 and additional convergent dependencies validated with multiple sgRNAs and rescue experiments	Article is CC BY 4.0; HRA002646 is controlled-access human data, so public training release must use permitted source data or authorized derived features only	RESTRICTED_RAW	paper; DOI; broad design; key models/drugs; controlled-access identifier; source data; validation	access approval; exact screen-arm table; library versions and doses; redistribution rights for controlled raw data
CER-S027	Issa et al., Cancers (2024), CRISPR-Cas9 Knockout Screens Identify DNA Damage Response Pathways and BTK as Essential for Cisplatin Response in Diffuse Large B-Cell Lymphoma	10.3390/cancers16132437	https://www.mdpi.com/2072-6694/16/13/2437	cisplatin	DLBCL cell lines; exact screening lines require sample-level extraction	diffuse large B-cell lymphoma	CRISPR-KO	resistance; sensitization	genome-wide CRISPR knockout library	genome-wide	cisplatin chemogenetic screens	cell survival / guide abundance	gene-level screen analysis described in paper	NA	NA	article supplementary data	https://www.mdpi.com/2072-6694/16/13/2437	yes	XPA, ERCC6 and BTK were functionally followed up	MDPI article is CC BY 4.0; confirm whether supplementary files carry any additional notices	VERIFIED_METADATA	paper; DOI; drug; disease; genome-wide KO; targeted validation	raw/count accession; exact lines; library version; dose/duration; software and supplement schema
