sample_id,screen_id,contrast_id,condition_role,replicate,biological_replicate_id,infection_replicate_id,technical_replicate_id,pair_id,replicate_unit,timepoint_days,timepoint_reference,treatment_name,treatment_dose,treatment_unit,batch,library_prep_batch,sequencing_batch,cell_count,coverage_per_guide,fastq_accession,notes
SYN-SCREEN-01_control_1,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,control,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-03_treatment_2,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,treatment,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_3,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-04_control_1,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,control,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-04_control_2,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,control,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-04_treatment_1,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,treatment,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_4,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-04_treatment_2,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,treatment,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_4,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-05_control_1,SYN-SCREEN-05,SYN-SCREEN-05-DRUG-vs-CTRL,control,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-05_control_2,SYN-SCREEN-05,SYN-SCREEN-05-DRUG-vs-CTRL,control,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-05_treatment_1,SYN-SCREEN-05,SYN-SCREEN-05-DRUG-vs-CTRL,treatment,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_1,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-05_treatment_2,SYN-SCREEN-05,SYN-SCREEN-05-DRUG-vs-CTRL,treatment,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_1,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-06_control_1,SYN-SCREEN-06,SYN-SCREEN-06-DRUG-vs-CTRL,control,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-06_control_2,SYN-SCREEN-06,SYN-SCREEN-06-DRUG-vs-CTRL,control,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-06_treatment_1,SYN-SCREEN-06,SYN-SCREEN-06-DRUG-vs-CTRL,treatment,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_2,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-06_treatment_2,SYN-SCREEN-06,SYN-SCREEN-06-DRUG-vs-CTRL,treatment,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_2,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-07_control_1,SYN-SCREEN-07,SYN-SCREEN-07-DRUG-vs-CTRL,control,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-07_control_2,SYN-SCREEN-07,SYN-SCREEN-07-DRUG-vs-CTRL,control,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-07_treatment_1,SYN-SCREEN-07,SYN-SCREEN-07-DRUG-vs-CTRL,treatment,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_3,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-07_treatment_2,SYN-SCREEN-07,SYN-SCREEN-07-DRUG-vs-CTRL,treatment,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_3,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-08_control_1,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,control,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-08_control_2,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,control,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,,,,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-08_treatment_1,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,treatment,1,BIOREP-1,INFECTION-1,,PAIR-1,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_4,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
SYN-SCREEN-08_treatment_2,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,treatment,2,BIOREP-2,INFECTION-2,,PAIR-2,independent_infection,14.0,start_of_drug_exposure,SYNTHETIC_DRUG_4,1.0,arbitrary_unit,synthetic_batch_1,synthetic_prep_1,synthetic_seq_1,120000,500.0,,Synthetic; not biological evidence.
