study_id,screen_id,contrast_id,gene_symbol,phenotype_direction,label_code,testing_status
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE018,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE019,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE020,resistance,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE021,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE022,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE023,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE024,sensitization,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE025,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE026,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE027,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE028,sensitization,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE029,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE030,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE031,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE032,resistance,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE033,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE034,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE035,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE036,resistance,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE037,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE038,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE039,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE040,sensitization,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE041,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE042,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE043,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE044,resistance,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE045,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE046,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE047,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE048,resistance,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE049,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE050,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE051,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE052,sensitization,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE053,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE054,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE055,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE056,sensitization,U,not_tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE057,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE058,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE059,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE000,resistance,V3,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE001,resistance,V2,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE002,resistance,V2,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE003,resistance,V2,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE004,resistance,F0,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE005,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE006,sensitization,V2,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE007,sensitization,V2,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE008,sensitization,F0,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE009,sensitization,D,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE010,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE011,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE012,resistance,F0,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE013,sensitization,F0,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE014,resistance,V1,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE015,sensitization,A,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE016,resistance,T,tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE017,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE018,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE019,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE020,resistance,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE021,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE022,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE023,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE024,sensitization,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE025,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE026,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE027,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE028,resistance,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE029,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE030,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE031,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE032,sensitization,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE033,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE034,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE035,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE036,resistance,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE037,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE038,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE039,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE040,sensitization,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE041,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE042,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE043,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE044,resistance,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE045,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE046,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE047,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE048,sensitization,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE049,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE050,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE051,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE052,sensitization,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE053,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE054,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE055,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE056,resistance,U,not_tested
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE057,sensitization,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE058,resistance,U,unknown
SYN-STUDY-02,SYN-SCREEN-02,SYN-SCREEN-02-DRUG-vs-CTRL,GENE059,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE000,resistance,V3,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE001,resistance,V2,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE002,resistance,V2,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE003,resistance,V2,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE004,resistance,F0,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE005,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE006,sensitization,V2,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE007,sensitization,V2,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE008,sensitization,F0,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE009,sensitization,D,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE010,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE011,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE012,resistance,F0,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE013,sensitization,F0,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE014,resistance,V1,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE015,sensitization,A,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE016,resistance,T,tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE017,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE018,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE019,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE020,resistance,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE021,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE022,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE023,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE024,sensitization,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE025,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE026,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE027,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE028,sensitization,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE029,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE030,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE031,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE032,sensitization,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE033,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE034,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE035,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE036,resistance,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE037,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE038,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE039,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE040,resistance,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE041,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE042,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE043,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE044,sensitization,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE045,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE046,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE047,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE048,sensitization,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE049,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE050,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE051,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE052,resistance,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE053,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE054,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE055,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE056,resistance,U,not_tested
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE057,resistance,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE058,sensitization,U,unknown
SYN-STUDY-03,SYN-SCREEN-03,SYN-SCREEN-03-DRUG-vs-CTRL,GENE059,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE000,resistance,V3,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE001,resistance,V2,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE002,resistance,V2,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE003,resistance,F0,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE004,resistance,F0,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE005,resistance,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE006,sensitization,V2,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE007,sensitization,V2,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE008,sensitization,F0,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE009,sensitization,D,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE010,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE011,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE012,resistance,F0,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE013,sensitization,F0,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE014,resistance,V1,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE015,sensitization,A,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE016,resistance,T,tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE017,resistance,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE018,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE019,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE020,resistance,U,not_tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE021,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE022,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE023,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE024,sensitization,U,not_tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE025,resistance,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE026,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE027,resistance,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE028,resistance,U,not_tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE029,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE030,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE031,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE032,resistance,U,not_tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE033,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE034,resistance,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE035,sensitization,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE036,resistance,U,not_tested
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE037,resistance,U,unknown
SYN-STUDY-04,SYN-SCREEN-04,SYN-SCREEN-04-DRUG-vs-CTRL,GENE038,sensitization,U,unknown
