gene_symbol,guide_n,median_guide_lfc,mean_guide_lfc,mean_control_count,low_count_fraction,zero_fraction_control,zero_fraction_treatment,positive_guide_fraction,negative_guide_fraction,neutral_guide_fraction,guide_lfc_mad,guide_lfc_iqr,top2_abs_lfc_mean,leave_one_guide_out_median_sd,strongest_guide_dominance,guide_direction_agreement,absolute_median_guide_lfc,absolute_mean_guide_lfc,signal_direction,is_sensitization_signal,is_neutral_signal,within_screen_effect_percentile,replicate_correlation,control_replicate_correlation,treatment_replicate_correlation,replicate_effect_sd,median_library_size,normalization_method,screen_id,contrast_id,study_id,source_family_id,raw_data_family_id,control_sample_n,treatment_sample_n,baseline_sample_n,paired_replicate_fraction,vehicle_control_present,baseline_control_present,same_infection_split,matched_control,cnv_amplification_risk_assessed,treatment_dose_reported,observed_infection_replicate_count,observed_biological_replicate_count,observed_technical_replicate_count,observed_timepoint_count,library_size_guides,target_gene_count,guides_per_gene_median,nontargeting_guide_count,library_moi,effector_moi,coverage_transduction,coverage_selection,coverage_harvest,infection_replicate_count,antibiotic_selection_days,editing_maturation_days,plasmid_reads_per_guide,plasmid_zero_guide_fraction,plasmid_skew_ratio,screen_reads_per_guide,gdna_fraction_amplified,pcr_cycle_count,exposure_days,recovery_days,endpoint_timepoint_days,minimum_declared_coverage,control_type_vehicle,control_type_untreated,control_type_baseline_t0,control_type_later_timepoint,control_type_sorted_population,control_type_matched_nontargeting,control_type_other,control_type_unknown,screen_scale_genome_wide,selection_strategy_positive_selection,selection_strategy_negative_selection,selection_strategy_bidirectional_selection,selection_strategy_competitive_growth,selection_strategy_marker_sort,selection_strategy_other,selection_strategy_unknown,independent_infection_replicates_declared,design_metadata_completeness,library_size_guides_missing,target_gene_count_missing,guides_per_gene_median_missing,nontargeting_guide_count_missing,library_moi_missing,effector_moi_missing,coverage_transduction_missing,coverage_selection_missing,coverage_harvest_missing,infection_replicate_count_missing,antibiotic_selection_days_missing,editing_maturation_days_missing,plasmid_reads_per_guide_missing,plasmid_zero_guide_fraction_missing,plasmid_skew_ratio_missing,screen_reads_per_guide_missing,gdna_fraction_amplified_missing,pcr_cycle_count_missing,exposure_days_missing,recovery_days_missing,endpoint_timepoint_days_missing,minimum_declared_coverage_missing,paired_replicate_fraction_missing,vehicle_control_present_missing,baseline_control_present_missing,same_infection_split_missing,matched_control_missing,cnv_amplification_risk_assessed_missing,observed_infection_replicate_count_missing,observed_biological_replicate_count_missing,observed_technical_replicate_count_missing,observed_timepoint_count_missing,phenotype_direction,label_code,testing_status
GENE010,4,-1.66198024519,-1.65837600307,924.625,0,0,0,0,1,0,0.102899176922,0.172581082812,1.76487942211,0.0762999139313,0.271606217759,1,1.66198024519,1.65837600307,sensitization,1,0,0.966666666667,0.886777073013,0.840834109913,0.932720036112,0.196482947879,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,U,unknown
GENE011,4,-1.66979166329,-1.68650357925,729.625,0,0,0,0,1,0,0.161608992034,0.2261335276,1.86482448726,0.0552092575914,0.298256807216,1,1.66979166329,1.68650357925,sensitization,1,0,0.983333333333,0.886777073013,0.840834109913,0.932720036112,0.1369739951,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,U,unknown
GENE012,4,1.01765680456,1.01495636239,968.25,0,0,0,1,0,0,0.120473708435,0.240992435514,1.138130513,0.136044837018,0.280993838452,1,1.01765680456,1.01495636239,resistance,0,0,0.8,0.886777073013,0.840834109913,0.932720036112,0.192250983462,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,F0,tested
GENE013,4,-0.937971993848,-0.966382166413,816.625,0,0,0,0,1,0,0.12846198228,0.276769921155,1.12325432126,0.138446015308,0.307497107167,1,0.937971993848,0.966382166413,sensitization,1,0,0.783333333333,0.886777073013,0.840834109913,0.932720036112,0.147836410356,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,F0,tested
GENE014,4,0.606895991965,0.677308565875,867.5,0,0,0,1,0,0,0.0829485969968,0.163553727999,0.830669736782,0.0117693511614,0.38544135462,1,0.606895991965,0.677308565875,resistance,0,0,0.75,0.886777073013,0.840834109913,0.932720036112,0.0964532373738,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,V1,tested
GENE015,4,-0.717787505533,-0.722688780299,776.625,0,0,0,0,1,0,0.0337009775061,0.0568437106947,0.761291032571,0.0210634218617,0.272092608405,1,0.717787505533,0.722688780299,sensitization,1,0,0.766666666667,0.886777073013,0.840834109913,0.932720036112,0.109460080778,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,A,tested
GENE016,4,0.314608681755,0.312978952504,782.625,0,0,0,1,0,0,0.0631533334308,0.0800523655121,0.377762015186,0.0176314721987,0.33999574283,1,0.314608681755,0.312978952504,resistance,0,0,0.7,0.886777073013,0.840834109913,0.932720036112,0.132631743053,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,T,tested
GENE017,4,0.108734292639,0.0873042400587,673,0,0,0,0.75,0,0.25,0.0312553662501,0.0534069919968,0.139989658889,0.000833200923744,0.399570272104,0.75,0.108734292639,0.0873042400587,resistance,0,0,0.5,0.886777073013,0.840834109913,0.932720036112,0.0425744587118,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,U,unknown
GENE018,4,-0.0307910293614,-0.00942338600591,928.625,0,0,0,0.25,0.25,0.5,0.0905232483326,0.125088687301,0.210583987763,0.0152395016994,0.460959563595,0.25,0.0307910293614,0.00942338600591,neutral,0,1,0.216666666667,0.886777073013,0.840834109913,0.932720036112,0.0939952095515,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,U,unknown
GENE019,4,-0.335999755161,-0.365362904376,997.25,0,0,0,0,1,0,0.0554132184969,0.124239025077,0.450139272088,0.0455675517053,0.359106059594,1,0.335999755161,0.365362904376,sensitization,1,0,0.733333333333,0.886777073013,0.840834109913,0.932720036112,0.0219698999166,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,U,unknown
GENE020,4,0.0121026566379,0.0776861677206,788.375,0,0,0,0.25,0.25,0.5,0.0675002598717,0.133935324997,0.265315987866,0.000983289911563,0.736406284805,0.25,0.0121026566379,0.0776861677206,neutral,0,1,0.0666666666667,0.886777073013,0.840834109913,0.932720036112,0.00687562091037,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,U,not_tested
GENE021,4,-0.0176315861328,0.0203077686964,794.125,0,0,0,0.25,0.25,0.5,0.0996856442136,0.21879987134,0.194075125789,0.0937326687441,0.458351046447,0.25,0.0176315861328,0.0203077686964,neutral,0,1,0.116666666667,0.886777073013,0.840834109913,0.932720036112,0.110825675899,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,U,unknown
GENE022,4,-0.297665681763,-0.208046280693,917.375,0,0,0,0.25,0.75,0,0.0791776103507,0.245924986667,0.376843292114,0.0890597145407,0.339429660856,0.75,0.297665681763,0.208046280693,sensitization,1,0,0.683333333333,0.886777073013,0.840834109913,0.932720036112,0.0553844951629,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,U,unknown
GENE023,4,-0.0283498299544,-0.0449491072436,754.875,0,0,0,0.25,0.25,0.5,0.0910451920754,0.124110210134,0.198823197959,0.0190129997318,0.57306887372,0.25,0.0283498299544,0.0449491072436,neutral,0,1,0.183333333333,0.886777073013,0.840834109913,0.932720036112,0.0391697556044,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,U,unknown
GENE024,4,-0.067459865551,-0.0728457661881,863.875,0,0,0,0.25,0.5,0.25,0.128906953077,0.196875693853,0.207138619902,0.0722644392023,0.51969519057,0.5,0.067459865551,0.0728457661881,neutral,0,1,0.3,0.886777073013,0.840834109913,0.932720036112,0.0483883026614,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,U,not_tested
GENE025,4,0.173694017598,0.152770707342,815.375,0,0,0,0.75,0,0.25,0.0822661492536,0.120720011061,0.255960166852,0.0202425373135,0.442287271452,0.75,0.173694017598,0.152770707342,resistance,0,0,0.583333333333,0.886777073013,0.840834109913,0.932720036112,0.0479384824432,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,U,unknown
GENE026,4,-0.0191047921473,-0.0355406857824,699.25,0,0,0,0,0.5,0.5,0.106072982514,0.228182839579,0.158049561932,0.122021782465,0.390421441898,0.5,0.0191047921473,0.0355406857824,neutral,0,1,0.133333333333,0.886777073013,0.840834109913,0.932720036112,0.138520067014,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,U,unknown
