sgrna_id,gene_symbol,SYN-SCREEN-01_control_1,SYN-SCREEN-01_control_2,SYN-SCREEN-01_treatment_1,SYN-SCREEN-01_treatment_2
SYN-SCREEN-01_GENE007_sg3,GENE007,501,393,131,167
SYN-SCREEN-01_GENE007_sg4,GENE007,724,650,156,171
SYN-SCREEN-01_GENE008_sg1,GENE008,708,945,293,239
SYN-SCREEN-01_GENE008_sg2,GENE008,962,1132,374,294
SYN-SCREEN-01_GENE008_sg3,GENE008,1075,1008,348,271
SYN-SCREEN-01_GENE008_sg4,GENE008,443,459,145,180
SYN-SCREEN-01_GENE009_sg1,GENE009,766,936,277,285
SYN-SCREEN-01_GENE009_sg2,GENE009,570,583,199,201
SYN-SCREEN-01_GENE009_sg3,GENE009,923,944,306,238
SYN-SCREEN-01_GENE009_sg4,GENE009,1085,1015,361,315
SYN-SCREEN-01_GENE010_sg1,GENE010,626,748,181,215
SYN-SCREEN-01_GENE010_sg2,GENE010,1007,1012,285,330
SYN-SCREEN-01_GENE010_sg3,GENE010,937,1184,367,379
SYN-SCREEN-01_GENE010_sg4,GENE010,927,956,276,356
SYN-SCREEN-01_GENE011_sg1,GENE011,736,622,182,235
SYN-SCREEN-01_GENE011_sg2,GENE011,788,700,304,266
SYN-SCREEN-01_GENE011_sg3,GENE011,545,689,154,151
SYN-SCREEN-01_GENE011_sg4,GENE011,797,960,289,283
SYN-SCREEN-01_GENE012_sg1,GENE012,869,895,1914,1998
SYN-SCREEN-01_GENE012_sg2,GENE012,993,1189,2224,2629
SYN-SCREEN-01_GENE012_sg3,GENE012,1004,849,1609,1837
SYN-SCREEN-01_GENE012_sg4,GENE012,996,951,1557,2157
SYN-SCREEN-01_GENE013_sg1,GENE013,534,411,281,261
SYN-SCREEN-01_GENE013_sg2,GENE013,1172,1015,502,463
SYN-SCREEN-01_GENE013_sg3,GENE013,1073,1133,581,684
SYN-SCREEN-01_GENE013_sg4,GENE013,617,578,249,335
SYN-SCREEN-01_GENE014_sg1,GENE014,890,955,2021,1822
SYN-SCREEN-01_GENE014_sg2,GENE014,776,665,1101,1123
SYN-SCREEN-01_GENE014_sg3,GENE014,1454,1070,1870,1583
SYN-SCREEN-01_GENE014_sg4,GENE014,610,520,765,966
SYN-SCREEN-01_GENE015_sg1,GENE015,481,558,320,337
SYN-SCREEN-01_GENE015_sg2,GENE015,793,887,486,530
SYN-SCREEN-01_GENE015_sg3,GENE015,849,744,392,550
SYN-SCREEN-01_GENE015_sg4,GENE015,778,1123,562,599
SYN-SCREEN-01_GENE016_sg1,GENE016,1074,857,1353,1094
SYN-SCREEN-01_GENE016_sg2,GENE016,692,549,827,844
SYN-SCREEN-01_GENE016_sg3,GENE016,1123,851,1059,1207
SYN-SCREEN-01_GENE016_sg4,GENE016,555,560,800,599
SYN-SCREEN-01_GENE017_sg1,GENE017,622,752,760,729
SYN-SCREEN-01_GENE017_sg2,GENE017,443,425,446,407
SYN-SCREEN-01_GENE017_sg3,GENE017,704,699,712,817
SYN-SCREEN-01_GENE017_sg4,GENE017,762,977,1169,821
SYN-SCREEN-01_GENE018_sg1,GENE018,924,802,1121,916
SYN-SCREEN-01_GENE018_sg2,GENE018,1199,1145,962,1417
SYN-SCREEN-01_GENE018_sg3,GENE018,618,984,758,768
SYN-SCREEN-01_GENE018_sg4,GENE018,820,937,814,729
SYN-SCREEN-01_GENE019_sg1,GENE019,1322,1126,1114,901
SYN-SCREEN-01_GENE019_sg2,GENE019,589,762,607,521
SYN-SCREEN-01_GENE019_sg3,GENE019,1042,1179,779,953
SYN-SCREEN-01_GENE019_sg4,GENE019,961,997,635,741
SYN-SCREEN-01_GENE020_sg1,GENE020,1223,951,1112,1081
SYN-SCREEN-01_GENE020_sg2,GENE020,765,1017,822,813
SYN-SCREEN-01_GENE020_sg3,GENE020,718,731,954,987
SYN-SCREEN-01_GENE020_sg4,GENE020,473,429,457,460
SYN-SCREEN-01_GENE021_sg1,GENE021,775,1071,876,1053
SYN-SCREEN-01_GENE021_sg2,GENE021,1321,1182,1006,1308
SYN-SCREEN-01_GENE021_sg3,GENE021,363,461,577,419
SYN-SCREEN-01_GENE021_sg4,GENE021,607,573,548,563
SYN-SCREEN-01_GENE022_sg1,GENE022,487,514,435,431
SYN-SCREEN-01_GENE022_sg2,GENE022,761,866,811,1007
SYN-SCREEN-01_GENE022_sg3,GENE022,1412,1105,882,1064
SYN-SCREEN-01_GENE022_sg4,GENE022,965,1229,854,840
SYN-SCREEN-01_GENE023_sg1,GENE023,1096,1072,1025,1096
SYN-SCREEN-01_GENE023_sg2,GENE023,1110,937,836,882
SYN-SCREEN-01_GENE023_sg3,GENE023,458,488,479,467
SYN-SCREEN-01_GENE023_sg4,GENE023,399,479,466,505
SYN-SCREEN-01_GENE024_sg1,GENE024,853,1169,822,832
SYN-SCREEN-01_GENE024_sg2,GENE024,671,731,729,680
SYN-SCREEN-01_GENE024_sg3,GENE024,980,1313,1209,1293
SYN-SCREEN-01_GENE024_sg4,GENE024,548,646,514,585
SYN-SCREEN-01_GENE025_sg1,GENE025,1002,1074,1248,1144
SYN-SCREEN-01_GENE025_sg2,GENE025,894,913,1151,1126
SYN-SCREEN-01_GENE025_sg3,GENE025,689,577,724,694
SYN-SCREEN-01_GENE025_sg4,GENE025,670,704,615,721
SYN-SCREEN-01_GENE026_sg1,GENE026,659,598,561,548
SYN-SCREEN-01_GENE026_sg2,GENE026,942,914,736,1001
SYN-SCREEN-01_GENE026_sg3,GENE026,497,608,551,630
SYN-SCREEN-01_GENE026_sg4,GENE026,554,822,736,710
SYN-SCREEN-01_GENE027_sg1,GENE027,1157,1100,1092,1588
SYN-SCREEN-01_GENE027_sg2,GENE027,716,731,734,688
SYN-SCREEN-01_GENE027_sg3,GENE027,738,883,647,626
SYN-SCREEN-01_GENE027_sg4,GENE027,934,1338,1081,1285
SYN-SCREEN-01_GENE028_sg1,GENE028,723,895,717,829
SYN-SCREEN-01_GENE028_sg2,GENE028,562,501,625,609
SYN-SCREEN-01_GENE028_sg3,GENE028,683,714,714,629
SYN-SCREEN-01_GENE028_sg4,GENE028,675,551,548,565
SYN-SCREEN-01_GENE029_sg1,GENE029,589,707,708,685
SYN-SCREEN-01_GENE029_sg2,GENE029,1345,1337,1360,1261
SYN-SCREEN-01_GENE029_sg3,GENE029,1020,941,1052,949
SYN-SCREEN-01_GENE029_sg4,GENE029,660,500,712,690
SYN-SCREEN-01_GENE030_sg1,GENE030,426,431,470,447
SYN-SCREEN-01_GENE030_sg2,GENE030,1314,1122,1066,900
SYN-SCREEN-01_GENE030_sg3,GENE030,1195,1108,1166,924
SYN-SCREEN-01_GENE030_sg4,GENE030,936,1195,940,917
SYN-SCREEN-01_GENE031_sg1,GENE031,1051,1015,931,1287
SYN-SCREEN-01_GENE031_sg2,GENE031,1022,1038,1102,879
SYN-SCREEN-01_GENE031_sg3,GENE031,514,491,574,522
SYN-SCREEN-01_GENE031_sg4,GENE031,829,1122,1126,1062
SYN-SCREEN-01_GENE032_sg1,GENE032,907,882,990,693
SYN-SCREEN-01_GENE032_sg2,GENE032,872,732,852,822
SYN-SCREEN-01_GENE032_sg3,GENE032,561,618,728,662
SYN-SCREEN-01_GENE032_sg4,GENE032,819,823,1035,899
SYN-SCREEN-01_GENE033_sg1,GENE033,1005,1063,1029,899
SYN-SCREEN-01_GENE033_sg2,GENE033,661,630,650,561
SYN-SCREEN-01_GENE033_sg3,GENE033,638,581,647,715
SYN-SCREEN-01_GENE033_sg4,GENE033,791,720,957,1074
SYN-SCREEN-01_GENE034_sg1,GENE034,584,644,585,660
SYN-SCREEN-01_GENE034_sg2,GENE034,438,533,547,598
SYN-SCREEN-01_GENE034_sg3,GENE034,859,954,1082,879
SYN-SCREEN-01_GENE034_sg4,GENE034,537,472,512,597
SYN-SCREEN-01_GENE035_sg1,GENE035,1208,1104,1104,1175
SYN-SCREEN-01_GENE035_sg2,GENE035,646,586,481,627
SYN-SCREEN-01_GENE035_sg3,GENE035,835,1079,851,871
SYN-SCREEN-01_GENE035_sg4,GENE035,908,1109,1218,1064
SYN-SCREEN-01_GENE036_sg1,GENE036,975,1171,1031,1213
SYN-SCREEN-01_GENE036_sg2,GENE036,765,633,567,710
SYN-SCREEN-01_GENE036_sg3,GENE036,1096,1081,1113,1181
SYN-SCREEN-01_GENE036_sg4,GENE036,588,503,480,608
SYN-SCREEN-01_GENE037_sg1,GENE037,1201,852,958,1126
SYN-SCREEN-01_GENE037_sg2,GENE037,452,523,449,722
SYN-SCREEN-01_GENE037_sg3,GENE037,507,568,538,535
SYN-SCREEN-01_GENE037_sg4,GENE037,1522,1179,1229,1189
SYN-SCREEN-01_GENE038_sg1,GENE038,669,560,547,560
SYN-SCREEN-01_GENE038_sg2,GENE038,835,651,897,820
SYN-SCREEN-01_GENE038_sg3,GENE038,574,552,704,616
SYN-SCREEN-01_GENE038_sg4,GENE038,933,843,933,682
SYN-SCREEN-01_GENE039_sg1,GENE039,977,934,968,746
SYN-SCREEN-01_GENE039_sg2,GENE039,487,506,545,436
SYN-SCREEN-01_GENE039_sg3,GENE039,1226,902,1367,982
SYN-SCREEN-01_GENE039_sg4,GENE039,831,830,810,844
SYN-SCREEN-01_GENE040_sg1,GENE040,492,608,376,594
SYN-SCREEN-01_GENE040_sg2,GENE040,593,812,702,790
SYN-SCREEN-01_GENE040_sg3,GENE040,1218,1182,1169,965
SYN-SCREEN-01_GENE040_sg4,GENE040,852,1041,858,822
SYN-SCREEN-01_GENE041_sg1,GENE041,1029,1034,981,852
SYN-SCREEN-01_GENE041_sg2,GENE041,1296,1117,1219,1270
SYN-SCREEN-01_GENE041_sg3,GENE041,1232,1093,1494,1197
SYN-SCREEN-01_GENE041_sg4,GENE041,433,368,501,515
SYN-SCREEN-01_GENE042_sg1,GENE042,938,921,1108,775
SYN-SCREEN-01_GENE042_sg2,GENE042,651,787,714,730
SYN-SCREEN-01_GENE042_sg3,GENE042,1106,915,885,861
SYN-SCREEN-01_GENE042_sg4,GENE042,1366,1184,1134,1162
SYN-SCREEN-01_GENE043_sg1,GENE043,1004,808,1095,1142
SYN-SCREEN-01_GENE043_sg2,GENE043,1173,1059,908,1200
SYN-SCREEN-01_GENE043_sg3,GENE043,637,443,649,816
SYN-SCREEN-01_GENE043_sg4,GENE043,910,1121,1012,997
SYN-SCREEN-01_GENE044_sg1,GENE044,1242,1067,914,1151
SYN-SCREEN-01_GENE044_sg2,GENE044,714,773,650,856
SYN-SCREEN-01_GENE044_sg3,GENE044,854,806,894,934
SYN-SCREEN-01_GENE044_sg4,GENE044,1004,969,886,793
SYN-SCREEN-01_GENE045_sg1,GENE045,989,1079,797,1195
SYN-SCREEN-01_GENE045_sg2,GENE045,644,641,547,623
SYN-SCREEN-01_GENE045_sg3,GENE045,680,1000,829,943
SYN-SCREEN-01_GENE045_sg4,GENE045,387,443,565,356
SYN-SCREEN-01_GENE046_sg1,GENE046,1006,1104,959,1110
SYN-SCREEN-01_GENE046_sg2,GENE046,727,575,571,597
SYN-SCREEN-01_GENE046_sg3,GENE046,1008,1447,1157,973
SYN-SCREEN-01_GENE046_sg4,GENE046,801,1067,1149,851
SYN-SCREEN-01_GENE047_sg1,GENE047,501,569,554,535
SYN-SCREEN-01_GENE047_sg2,GENE047,987,959,1121,1103
SYN-SCREEN-01_GENE047_sg3,GENE047,1185,1074,1362,960
SYN-SCREEN-01_GENE047_sg4,GENE047,1131,1160,1182,1088
SYN-SCREEN-01_GENE048_sg1,GENE048,547,594,483,476
SYN-SCREEN-01_GENE048_sg2,GENE048,1543,975,1198,1188
SYN-SCREEN-01_GENE048_sg3,GENE048,621,625,860,643
SYN-SCREEN-01_GENE048_sg4,GENE048,1041,885,1151,1023
SYN-SCREEN-01_GENE049_sg1,GENE049,992,951,843,813
SYN-SCREEN-01_GENE049_sg2,GENE049,968,1177,1215,952
SYN-SCREEN-01_GENE049_sg3,GENE049,641,556,567,570
SYN-SCREEN-01_GENE049_sg4,GENE049,670,544,604,561
SYN-SCREEN-01_GENE050_sg1,GENE050,619,767,626,638
SYN-SCREEN-01_GENE050_sg2,GENE050,456,473,314,433
SYN-SCREEN-01_GENE050_sg3,GENE050,571,691,568,660
SYN-SCREEN-01_GENE050_sg4,GENE050,626,609,726,664
SYN-SCREEN-01_GENE051_sg1,GENE051,786,873,762,972
SYN-SCREEN-01_GENE051_sg2,GENE051,531,609,796,629
SYN-SCREEN-01_GENE051_sg3,GENE051,1089,928,1052,915
SYN-SCREEN-01_GENE051_sg4,GENE051,970,946,1090,1052
SYN-SCREEN-01_GENE052_sg1,GENE052,917,757,832,767
SYN-SCREEN-01_GENE052_sg2,GENE052,1082,999,1167,1026
SYN-SCREEN-01_GENE052_sg3,GENE052,571,718,674,578
SYN-SCREEN-01_GENE052_sg4,GENE052,571,764,605,542
SYN-SCREEN-01_GENE053_sg1,GENE053,1092,1300,1343,1413
SYN-SCREEN-01_GENE053_sg2,GENE053,1079,944,1197,850
SYN-SCREEN-01_GENE053_sg3,GENE053,670,580,797,794
SYN-SCREEN-01_GENE053_sg4,GENE053,861,827,1116,902
SYN-SCREEN-01_GENE054_sg1,GENE054,953,1097,1201,1359
SYN-SCREEN-01_GENE054_sg2,GENE054,680,622,717,961
SYN-SCREEN-01_GENE054_sg3,GENE054,485,447,463,489
SYN-SCREEN-01_GENE054_sg4,GENE054,1383,1140,1233,1098
SYN-SCREEN-01_GENE055_sg1,GENE055,1028,1072,774,670
SYN-SCREEN-01_GENE055_sg2,GENE055,657,616,499,519
SYN-SCREEN-01_GENE055_sg3,GENE055,798,726,592,699
SYN-SCREEN-01_GENE055_sg4,GENE055,485,487,516,445
SYN-SCREEN-01_GENE056_sg1,GENE056,1407,1005,1017,1068
SYN-SCREEN-01_GENE056_sg2,GENE056,770,639,916,925
SYN-SCREEN-01_GENE056_sg3,GENE056,1342,996,1241,1130
SYN-SCREEN-01_GENE056_sg4,GENE056,532,454,541,514
SYN-SCREEN-01_GENE057_sg1,GENE057,1029,1293,1176,1252
SYN-SCREEN-01_GENE057_sg2,GENE057,1030,905,1243,937
SYN-SCREEN-01_GENE057_sg3,GENE057,896,1020,764,807
SYN-SCREEN-01_GENE057_sg4,GENE057,604,623,724,725
SYN-SCREEN-01_GENE058_sg1,GENE058,497,557,729,612
SYN-SCREEN-01_GENE058_sg2,GENE058,1106,1121,1171,988
SYN-SCREEN-01_GENE058_sg3,GENE058,1095,1075,1237,1478
SYN-SCREEN-01_GENE058_sg4,GENE058,741,598,841,847
SYN-SCREEN-01_GENE059_sg1,GENE059,685,668,1031,692
SYN-SCREEN-01_GENE059_sg2,GENE059,986,914,1050,904
SYN-SCREEN-01_GENE059_sg3,GENE059,920,1011,1270,1301
SYN-SCREEN-01_GENE059_sg4,GENE059,511,589,553,606
